id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat,delegation
4141,103,2,1,False,True,True,0,True,True,True,False,True,True,True,555000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4142,70,1,1,False,True,True,4,False,True,False,False,True,True,False,240000,appartement,36.8585478,10.1682756,ariana ville,cité ennasr 1
4143,98,3,1,False,True,False,3,False,True,False,False,False,True,False,175000,appartement,35.851517017,10.58911496,hammam sousse ghrabi,Non spécifié
4144,69,1,1,False,True,False,2,False,True,False,False,True,True,False,235000,appartement,35.852159,10.616655,khezama est,Non spécifié
4145,73,2,1,False,True,True,0,True,True,False,True,True,True,False,220000,appartement,36.0317203,10.5064796,hergla,Non spécifié
4146,100,3,2,False,True,True,0,False,False,False,False,False,False,False,145000,appartement,35.7707582,10.8280511,monastir ville,monastir ville
4147,100,2,1,False,True,False,0,True,False,True,True,False,False,False,250000,appartement,36.8456561,11.0935701,kélibia,Non spécifié
4148,162,3,3,False,True,True,1,False,True,True,True,True,True,False,520000,appartement,36.8656931,10.1687265,ariana ville,les jardins d'el menzah 2
4149,85,2,1,False,True,False,2,False,False,False,False,True,False,False,158000,appartement,35.8137916,10.5208721,sousse ville,sousse ville
4150,188,4,4,False,True,False,0,True,False,False,True,False,False,False,1220000,appartement,36.8348312,10.3181518,le kram,Non spécifié
4151,0,2,3,False,True,False,0,False,True,False,False,True,True,False,910000,appartement,36.8790882,10.327678,la marsa,les berges du lac 2
4152,64,1,1,False,False,False,1,False,True,False,False,False,False,False,265000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4153,150,3,1,False,True,False,0,False,False,False,False,False,False,False,260000,appartement,36.8637363,10.3075097,la marsa,sidi daoued
4154,0,0,1,False,False,True,0,True,False,True,False,False,False,True,633600,appartement,36.8873334,10.315339,la marsa,la marsa
4155,118,3,2,False,True,False,3,False,True,False,True,True,True,False,509421,appartement,35.4655214,11.0416985,rejiche,Non spécifié
4156,800,8,5,False,True,True,0,False,False,True,False,False,True,False,980000,appartement,36.8811985,10.211819,la soukra,chotrana 3
4157,55,1,2,False,False,False,0,False,False,False,True,True,False,False,155000,appartement,37.2857197,9.8716632,bizerte nord,sidi salem
4158,180,3,3,False,True,True,0,True,True,False,False,True,True,False,816000,appartement,36.8749751,10.2454267,la soukra,la soukra
4159,155,3,1,False,False,False,0,True,True,False,False,True,True,False,760000,appartement,36.8790882,10.327678,la marsa,les berges du lac 2
4160,100,2,1,False,True,True,2,False,False,False,True,True,False,False,175000,appartement,37.239323,9.9129702,menzel jemil,Non spécifié
4161,108,2,2,False,False,False,4,True,True,False,False,True,True,False,205000,appartement,36.7019512,10.3964906,hammam chatt,borj cedria
4162,0,4,4,False,True,False,0,True,True,True,True,True,True,False,1200000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4163,289,3,4,False,True,True,0,True,True,False,True,True,True,False,1450000,appartement,36.8790882,10.327678,la marsa,les berges du lac 2
4164,0,4,3,False,True,False,0,True,True,False,False,True,True,False,680000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4165,200,3,2,False,True,False,0,False,False,False,False,True,True,False,330000,appartement,36.4356376,10.6322692,hammamet,hammamet nord
4166,150,2,1,False,True,True,1,True,False,True,False,True,True,False,450000,appartement,35.9052411,10.5620745,akouda,chott meriem
4167,150,2,1,False,True,True,1,True,False,True,False,True,True,False,450000,appartement,35.9052411,10.5620745,akouda,chott meriem
4168,150,2,1,False,True,True,1,True,False,True,False,True,True,False,450000,appartement,35.9052411,10.5620745,akouda,chott meriem
4169,100,3,1,False,True,True,4,True,True,False,False,False,True,False,208000,appartement,36.8656931,10.1687265,ariana ville,riadh al andalous
4170,58,1,1,False,False,False,0,False,True,False,False,True,True,False,238000,appartement,36.8749751,10.2454267,la soukra,la soukra
4171,59,1,1,False,True,False,0,True,True,False,False,True,True,False,235000,appartement,36.8749751,10.2454267,la soukra,la soukra
4172,128,2,3,False,True,True,1,False,True,False,False,True,True,False,448000,appartement,36.8811985,10.211819,la soukra,chotrana 1
4173,125,2,1,False,True,True,0,True,False,True,False,True,True,False,250000,appartement,36.7575659,10.244981,nouvelle medina,nouvelle medina
4174,130,2,2,False,True,False,0,True,True,False,False,True,True,False,500000,appartement,36.8749751,10.2454267,la soukra,la soukra
4175,101,2,2,False,True,True,0,True,True,True,False,True,True,False,606000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4176,93,2,2,False,True,True,0,True,True,True,False,True,True,False,595000,appartement,36.8547834,10.2985614,le kram,les jardins de carthage
4177,100,2,1,False,True,False,1,False,False,False,False,True,False,False,270000,appartement,35.9052411,10.5620745,akouda,chott meriem
4178,73,2,1,False,True,False,1,False,False,True,False,True,True,False,188000,appartement,36.7419525,10.1995273,el mourouj,el mourouj 2
4179,312,3,5,False,True,True,0,True,True,False,False,True,True,False,1560000,appartement,36.8790882,10.327678,la marsa,les berges du lac 2
4180,700,2,2,False,True,False,0,False,False,False,True,True,False,False,1400000,appartement,35.8749788,10.5935183,hammam sousse,hammam sousse
4181,100,3,2,False,False,False,0,False,False,False,False,False,False,False,340000,appartement,35.8137916,10.5208721,sousse ville,sousse ville
4182,100,2,1,False,True,False,2,False,False,False,False,True,True,False,195000,appartement,36.405222,10.5681321,hammamet,hammamet sud
4183,140,3,1,False,False,False,0,False,False,False,False,False,True,False,275000,appartement,35.8503382,10.6077643,sousse jaouhara,Non spécifié
4184,160,3,2,False,True,False,0,True,True,True,False,True,True,False,450000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4185,250,0,1,False,True,False,1,False,False,False,True,False,False,False,520000,appartement,37.2720905,9.8708565,bizerte,Non spécifié
4186,60,1,1,False,True,False,0,False,False,False,False,True,True,False,220000,appartement,36.8790882,10.327678,la marsa,cité essalama
4187,60,1,1,False,True,False,1,True,True,False,False,True,True,False,290000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4188,153,3,2,False,True,False,1,False,True,False,False,True,True,False,560000,appartement,36.8749751,10.2454267,la soukra,la soukra
4189,116,2,2,False,False,False,0,True,True,True,False,True,True,False,430000,appartement,36.8749751,10.2454267,la soukra,la soukra
4190,148,3,1,False,True,True,1,False,True,False,False,False,True,False,260000,appartement,34.7450893,10.7436403,sfax ouest,sfax ouest
4191,130,3,1,False,True,True,0,False,True,False,False,False,True,False,450000,appartement,35.8419792,10.6249068,sousse corniche,Non spécifié
4192,85,2,1,False,True,True,0,False,True,False,False,False,False,False,205000,appartement,35.9052411,10.5620745,akouda,chott meriem
4193,126,3,2,False,True,True,0,False,False,False,False,False,False,False,415000,appartement,35.9167608,10.5729473,tantana,Non spécifié
