surface,nombre_chambres,nombre_salle_bain,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,etat,neuf,balcon,terrasse,haut_standing,price,area,url
80,2,1,False,False,False,False,True,True,True,Bon état,False,False,False,False,255 000 TND,Tantana,https://www.mubawab.tn/fr/a/8271167/appart-s2-meubl%C3%A9-pour-la-vente
75,2,1,False,True,False,False,True,True,False,Bon état,False,False,True,False,320 000 TND,Tantana,https://www.mubawab.tn/fr/a/8271155/appart-s2-meubl%C3%A9-avec-place-de-parking-%C3%A0-vendre
125,3,2,False,False,False,False,False,True,True,Nouveau,True,False,False,True,335 000 TND,"ElMourouj6à
				ElMourouj",https://www.mubawab.tn/fr/pa/7789729/s3-%C3%A0-vendre-%C3%A0-el-mourouj-6
144,3,2,False,False,False,False,True,True,False,Nouveau,True,False,True,True,598 719 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7671891/bel-appartement-s2-avec-une-terrasse-vue-sur-mer
148,3,2,False,True,False,False,True,True,False,Nouveau,True,False,False,True,596 785 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/8243277/vend-appartement-%C3%A0-el-kantaoui-superficie-148-m%C2%B2
133,3,3,False,True,False,True,False,False,False,Non spécifié,False,False,False,True,538 118 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/8243281/vend-appartement-%C3%A0-el-kantaoui-3-belles-chambres
186,3,3,False,False,False,True,True,True,True,Nouveau,True,False,True,True,592 000 TND,"AinZaghouanNordà
				LaMarsa",https://www.mubawab.tn/fr/a/8068465/a-vendre-s3-direct-promoteur-a-ain-zaghouan-nord-l
141,3,3,False,True,False,False,True,True,True,Nouveau,True,False,True,True,530 000 TND,"CitéElWafaà
				Nabeul",https://www.mubawab.tn/fr/a/8264661/a-vendre-appartement-s3-haut-standing-%C3%A0-afh-mrezga
100,2,1,False,False,False,False,True,True,False,Nouveau,True,False,True,True,300 000 TND,"CitéElWafaà
				Nabeul",https://www.mubawab.tn/fr/a/8233974/a-vendre-%C3%A9tage-de-villa-s2-%C3%A0-afh-mrezga
188,2,2,False,False,False,True,True,True,True,Nouveau,True,False,True,True,464 000 TND,"CitéLesPinsà
				LaMarsa",https://www.mubawab.tn/fr/a/8256232/a-vendre-appartement-s2-%C3%A0-nouvelle-soukra
74,1,1,False,True,False,False,True,True,False,Nouveau,True,False,True,True,335 000 TND,"Chotrana2à
				LaSoukra",https://www.mubawab.tn/fr/a/8244625/a-vendre-appartement-s1-%C3%A0-chotrana-2
145,3,2,False,True,False,True,True,True,False,Nouveau,True,False,True,True,683 000 TND,"Chotrana2à
				LaSoukra",https://www.mubawab.tn/fr/a/8236615/a-vendre-appartement-s3-%C3%A0-chotrana-2
65,1,1,False,True,False,False,True,True,False,Nouveau,True,False,True,True,245 000 TND,"CitéElWafaà
				Nabeul",https://www.mubawab.tn/fr/a/8244722/a-vendre-appartement-s1-%C3%A0-afh-mrezga-cit%C3%A9-el-wafa
130,2,1,False,False,False,False,True,True,False,Nouveau,True,False,True,False,360 000 TND,"Gammarthà
				LaMarsa",https://www.mubawab.tn/fr/a/8163530/a-vendre-%C3%A9tage-de-villa-s2-%C3%A0-gammarth-tunis
110,3,2,False,False,False,False,False,False,False,Nouveau,True,False,False,False,250 000 TND,Kélibia,https://www.mubawab.tn/fr/a/8271012/%C3%A0-vendre-%E2%80%93-appartement-s3-%C3%A0-k%C3%A9libia-cit%C3%A9-merd%C3%A8s
120,3,1,False,False,False,False,True,False,False,Bon état,False,False,True,False,250 000 TND,"Arianaà
				ArianaVille",https://www.mubawab.tn/fr/a/8270770/%C3%A0-vendre-appartement-s3-rdc-situ%C3%A9-%C3%A0-ariana
120,2,2,False,False,False,False,True,True,False,Bon état,False,False,True,False,285 000 TND,"HammametNordà
				Hammamet",https://www.mubawab.tn/fr/a/8270987/appartement-s2-dans-la-zone-touristique-hammamet
91,2,1,False,True,False,False,True,True,True,Bon état,False,False,True,True,350 000 TND,"CitéElWafaà
				Nabeul",https://www.mubawab.tn/fr/a/8167782/a-vendre-appartement-s2-haut-standing-%C3%A0-afh-mrezga
145,2,2,False,False,False,True,True,True,False,Bon état,False,False,True,False,450 000 TND,"YasmineHammametà
				Hammamet",https://www.mubawab.tn/fr/a/8256379/appartement-%C3%A1-vendre-%C3%A0-marina-yasmine-hammamet
Non spécifié,2,1,False,True,False,False,True,True,False,Nouveau,True,False,True,False,800 000 TND,"LesBergesDuLac2à
				LaMarsa",https://www.mubawab.tn/fr/a/8101038/appartement-s2-avec-piscine-au-lac-2
113,3,2,False,False,False,False,False,False,False,Bon état,False,False,False,False,190 000 TND,"ElMourouj5à
				ElMourouj",https://www.mubawab.tn/fr/a/8269844/a-vendre-un-appartement-s3-%C3%A0-mourouj-5
85,2,1,False,True,False,False,True,True,False,Nouveau,True,False,True,True,325 000 TND,"CitéElWafaà
				Nabeul",https://www.mubawab.tn/fr/a/8228394/a-vendre-appartement-s2-85m%C2%B2-%C3%A0-afh-mrezga-nabeul
133,2,2,False,False,False,False,True,True,True,Nouveau,True,False,False,True,570 300 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/pa/8186549/appartement-s2-raffin%C3%A9-%E2%80%93-r%C3%A9sidence-casablanca
131,2,2,False,False,False,True,True,True,False,Nouveau,True,False,False,True,713 400 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/pa/8185222/exceptionnel-s2-avec-jardin-89m%C2%B2-casablanca
120,2,2,False,False,False,False,True,True,True,Nouveau,True,False,True,True,517 000 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/pa/8185172/%C3%A9l%C3%A9gance-et-confort-%C3%A0-chotrana1-s2-%C3%A0-d%C3%A9couvrir
58,1,1,False,True,False,False,True,True,True,Nouveau,True,False,True,True,256 000 TND,"CitéElWafaà
				Nabeul",https://www.mubawab.tn/fr/a/8267250/a-vendre-appartement-s1-%C3%A0-afh-mrezga-cit%C3%A9-el-wafa
89,1,1,False,True,False,False,True,True,False,Nouveau,True,False,True,False,330 000 TND,"Hammametà
				Hammamet",https://www.mubawab.tn/fr/a/8270953/vente-appartement-creuzet-s1
124,3,1,False,False,False,False,True,True,False,Bon état,False,False,True,False,225 000 TND,SousseCorniche,https://www.mubawab.tn/fr/a/8198358/%C3%A0-vendre-appartement-s3-centre-ville
169,3,3,False,False,False,False,True,True,True,Nouveau,True,False,False,True,717 900 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/pa/8186555/r%C3%A9sidence-casablanca-%E2%80%93-s3-raffin%C3%A9-de-169-m%C2%B2
181,3,3,False,False,False,False,True,True,False,Nouveau,True,False,False,True,767 100 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/pa/8186534/s3-de-luxe-%C3%A0-casablanca-%E2%80%93-chotrana-1
234,3,3,False,True,False,True,True,True,False,Nouveau,True,False,True,True,1 286 400 TND,"Chotrana1à
				LaSoukra",https://www.mubawab.tn/fr/pa/8185204/duplex-haut-standing-avec-piscine-cuisine-d%E2%80%99%C3%A9t%C3%A9
136,3,3,False,False,False,False,True,True,True,Nouveau,True,False,True,True,622 000 TND,"LesJardinsdeCarthageà
				LeKram",https://www.mubawab.tn/fr/pa/7928576/s3-%C3%A0-vendre-de-136m%C2%B2-%C3%A0-jardins-de-carthage
136,3,2,False,False,False,False,True,True,True,Nouveau,True,False,True,True,622 000 TND,"LesJardinsdeCarthageà
				LeKram",https://www.mubawab.tn/fr/pa/7928578/bel-appartement-%C3%A0-vendre-%C3%A0-les-jardins-de-carthage
136,3,3,False,False,False,False,True,True,True,Nouveau,True,False,True,True,622 000 TND,"LesJardinsdeCarthageà
				LeKram",https://www.mubawab.tn/fr/pa/7928566/s3-%C3%A0-vendre-de-136m%C2%B2-%C3%A0-jardins-de-carthage
118,2,2,False,False,False,False,True,True,True,Nouveau,True,False,True,True,576 000 TND,"LesJardinsdeCarthageà
				LeKram",https://www.mubawab.tn/fr/pa/7928573/appartement-%C3%A0-vendre-les-jardins-de-carthage
113,2,2,False,False,False,False,False,True,True,Nouveau,True,False,False,True,287 000 TND,"ElMourouj6à
				ElMourouj",https://www.mubawab.tn/fr/pa/7789544/vend-appartement-s2-%C3%A0-el-mourouj-6
100,2,1,False,False,False,False,False,False,False,Bon état,False,False,False,False,80 000 TND,SousseCorniche,https://www.mubawab.tn/fr/a/8199985/appartement-s2-bien-equip%C3%A9
86,2,1,False,False,False,False,False,False,False,Bon état,False,False,True,False,150 000 TND,SousseCorniche,https://www.mubawab.tn/fr/a/8215509/s2-non-meubl%C3%A9-%C3%A0-la-corniche
95,2,1,False,False,False,False,False,False,False,Nouveau,True,False,True,True,240 000 TND,HammamElGhezaz,https://www.mubawab.tn/fr/a/8085310/appartement-avec-vue-mer-%C3%A0-plage-hammem-ghezez
75,1,1,False,False,False,False,False,False,False,Nouveau,True,False,True,False,135 000 TND,HammamGhezèze,https://www.mubawab.tn/fr/a/8218195/appartement-meubl%C3%A9-%C3%A0-500-m%C3%A8tres-de-la-plage
135,2,1,False,False,False,False,False,False,False,Nouveau,True,False,False,False,600 000 TND,"HammametNordà
				Hammamet",https://www.mubawab.tn/fr/a/8270932/%C3%A0-vendre-%E2%80%93-duplex-palya-avec-vue-mer-panoramique
97,2,1,False,True,False,False,True,True,True,Nouveau,True,False,True,False,400 000 TND,"CitéElWafaà
				Nabeul",https://www.mubawab.tn/fr/a/8106962/%C3%A0-vendre-appartement-s2-cit%C3%A9-el-wafa-afh2
119,2,2,False,False,False,True,True,True,False,Nouveau,True,False,True,False,559 000 TND,"Chotrana2à
				LaSoukra",https://www.mubawab.tn/fr/a/8228323/a-vendre-un-s2-avec-jardin-neuf-%C3%A0-chotrana-2
49,2,Non spécifié,False,False,False,False,False,False,False,Non spécifié,False,False,False,True,211 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8267157/appartements-direct-promoteur-%C3%A0-vendre-%C3%A0-la-soukra
112,2,1,False,False,False,False,False,True,True,Nouveau,True,False,False,True,285 000 TND,"ElMourouj6à
				ElMourouj",https://www.mubawab.tn/fr/pa/7789547/appartement-s2-%C3%A0-el-mourouj-6-superficie-112-m%C2%B2
65,2,1,False,False,False,False,False,False,False,Bon état,False,False,False,False,120 000 TND,"BabBharà
				Tunis",https://www.mubawab.tn/fr/a/8255928/a-vendre-appartement-s2-au-centre-ville-tunis
170,3,1,False,False,False,False,False,False,False,Bon état,False,False,True,False,275 000 TND,"BabBharà
				Tunis",https://www.mubawab.tn/fr/a/8244183/a-vendre-appartement-s3-au-centre-ville-tunis
95,2,1,False,False,False,False,True,True,True,Bon état,False,False,True,False,310 000 TND,"Nabeulà
				Nabeul",https://www.mubawab.tn/fr/a/8244424/s2-a-vendre
149,3,3,False,False,False,False,False,False,False,Bon état,False,False,False,False,520 000 TND,"LaSoukraà
				LaSoukra",https://www.mubawab.tn/fr/a/8237917/appart-s3-maysan-%C3%A0-vendre-%C3%A0-la-nouvelle-soukra
139,3,1,False,False,False,True,True,True,False,Bon état,False,False,False,False,580 000 TND,"AinZaghouanNordà
				LaMarsa",https://www.mubawab.tn/fr/a/8195074/appart-s3-dilik-%C3%A0-vendre-%C3%A0-ain-zaghouan-nord
