id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat
1329,96,2,2,0,1,0,3,1,1,0,0,1,1,0,600000,1,36.8547834,10.2985614,Ariana
1337,170,3,2,0,1,1,2,1,1,1,0,1,1,0,650000,1,36.8547834,10.2985614,Ariana
1348,129,2,1,0,1,0,2,1,1,1,0,1,1,0,640000,1,36.8547834,10.2985614,Ariana
1351,129,2,2,1,0,0,0,0,1,0,0,1,1,0,640000,1,36.8547834,10.2985614,Ariana
1358,135,2,1,0,1,1,0,1,0,1,0,0,0,0,580000,1,36.8547834,10.2985614,Ariana
1368,131,2,1,0,0,0,2,1,1,1,0,1,1,0,650000,1,36.8547834,10.2985614,Ariana
1374,131,2,2,1,0,0,2,0,1,0,0,1,1,0,650000,1,36.8547834,10.2985614,Ariana
1375,182,2,2,0,1,0,0,1,1,1,0,1,1,1,990000,1,36.8547834,10.2985614,Ariana
1377,72,1,1,1,0,0,1,1,0,1,1,1,0,0,415000,1,36.8547834,10.2985614,Ariana
1379,74,1,1,0,1,0,0,0,1,1,0,1,1,0,400000,1,36.8547834,10.2985614,Ariana
1397,155,3,3,1,0,0,1,0,1,0,0,1,1,0,760000,1,36.8547834,10.2985614,Ariana
1400,138,2,1,1,0,0,0,1,0,1,0,1,1,0,800000,1,36.8547834,10.2985614,Ariana
1415,129,2,2,1,0,0,2,0,1,0,0,1,1,0,640000,1,36.8547834,10.2985614,Ariana
1417,131,2,2,0,1,1,2,0,1,0,0,1,1,0,648000,1,36.8547834,10.2985614,Ariana
1419,500,4,5,0,1,0,9,1,1,0,1,1,1,1,1449000,1,36.8547834,10.2985614,Ariana
1421,181,2,1,1,0,0,1,1,0,1,1,1,1,0,1050000,1,36.8547834,10.2985614,Ariana
1430,131,2,2,1,0,0,3,0,1,0,0,1,1,0,650000,1,36.8547834,10.2985614,Ariana
1435,149,2,1,1,0,0,1,1,0,1,1,1,1,0,864000,1,36.8547834,10.2985614,Ariana
1446,131,2,2,1,0,0,4,0,1,0,0,1,1,0,650000,1,36.8547834,10.2985614,Ariana
1453,143,2,1,1,0,0,2,1,0,1,1,1,1,0,829000,1,36.8547834,10.2985614,Ariana
