prix,categorie,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,lat,lon
520000,1,108.0,3.0,1.0,1,1,0,0.0,1,0,0,0,0,0,0,36.8484,10.1988
395000,1,115.0,2.0,1.0,1,0,1,3.0,1,0,0,0,1,1,0,36.8625,10.1523
317000,1,152.0,3.0,2.0,0,0,1,7.0,1,1,0,0,1,1,0,36.863,10.1548
660000,1,167.0,3.0,1.0,1,1,1,6.0,1,0,0,1,1,1,0,36.8671,10.1518
370000,1,138.0,3.0,1.0,1,0,0,5.0,1,1,0,1,1,1,0,36.858,10.1844
140000,1,85.0,3.0,1.0,0,0,1,4.0,1,0,0,0,0,0,0,36.8821,10.2059
178000,1,78.0,2.0,1.0,0,0,0,1.0,1,0,0,0,0,0,0,36.8106,10.1099
550000,1,240.0,5.0,3.0,1,1,1,2.0,1,0,0,0,0,0,0,36.8966,10.1857
310000,1,105.0,2.0,1.0,1,0,1,6.0,1,1,0,0,1,1,0,36.8054,10.0919
295000,1,111.0,2.0,1.0,0,0,1,2.0,1,1,0,0,0,0,0,36.9018,10.1858
580000,1,165.0,3.0,2.0,1,0,1,2.0,1,0,0,0,1,1,0,36.8619,10.287
450000,1,89.0,2.0,2.0,1,1,1,4.0,1,1,0,1,4,1,0,36.8499,10.1969
800000,1,200.0,3.0,3.0,0,1,1,2.0,1,0,0,0,1,1,0,36.8534,10.2991
285000,1,81.0,2.0,1.0,0,0,1,1.0,1,0,0,0,1,1,0,36.7554,10.2484
170000,1,100.0,3.0,1.0,0,0,1,3.0,1,0,0,0,1,0,0,36.7556,10.2757
245000,1,114.0,2.0,1.0,1,0,1,3.0,1,1,0,0,0,1,0,36.7387,10.2515
390000,1,132.0,3.0,2.0,1,0,0,2.0,1,1,0,0,1,1,0,36.806,10.0918
155000,1,100.0,3.0,1.0,0,0,1,4.0,1,0,0,0,1,0,0,36.7554,10.2733
280000,1,109.0,3.0,1.0,1,0,1,1.0,1,0,0,0,1,1,0,36.7641,10.2813
792000,1,198.0,1.0,1.0,1,0,0,2.0,1,0,0,0,0,0,0,36.8638,10.1541
245000,1,123.0,3.0,2.0,0,0,1,6.0,1,1,1,1,0,1,0,36.7425,10.2548
270000,1,131.0,3.0,1.0,0,0,0,1.0,1,0,0,0,1,1,0,36.8672,10.1888
137000,1,80.0,2.0,1.0,0,0,1,4.0,1,0,0,0,0,0,0,36.7559,10.2742
287000,1,104.0,2.0,2.0,0,0,1,2.0,1,1,0,0,1,1,0,36.8622,10.2688
130000,1,75.0,1.0,1.0,0,0,0,0.0,1,0,0,0,0,0,0,36.8101,10.1103
140000,1,86.0,2.0,1.0,0,0,1,1.0,1,0,0,0,0,0,0,36.7049,10.4085
240000,1,114.0,2.0,2.0,0,0,0,2.0,1,1,0,0,1,1,0,36.716,10.3693
390000,1,130.0,2.0,1.0,1,1,0,2.0,1,0,1,0,1,1,0,36.8657,10.2943
170000,1,115.0,2.0,1.0,0,0,0,1.0,1,0,0,0,1,1,0,36.864,10.186
7000000,0,2000.0,5.0,4.0,0,1,0,0.0,1,0,1,0,0,0,0,36.851,10.2674
500000,0,328.0,3.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8146,10.1058
530000,0,150.0,3.0,2.0,1,0,0,0.0,1,0,1,0,1,1,0,36.7704,10.2722
600000,0,355.0,4.0,2.0,0,1,1,0.0,1,0,1,0,1,1,0,36.8747,10.2127
650000,0,450.0,4.0,2.0,0,0,1,0.0,0,0,1,0,0,1,0,36.87,10.2049
900000,0,330.0,3.0,2.0,0,0,1,0.0,1,0,1,0,0,0,0,36.81,10.1031
1300000,0,337.0,4.0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,36.8607,10.1874
320000,0,180.0,3.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8332,10.1997
260000,0,120.0,3.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.7064,10.403
750000,0,401.0,4.0,2.0,0,0,1,0.0,1,0,1,0,1,0,0,36.804,10.0959
370000,0,317.0,7.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8101,10.0869
420000,0,422.0,4.0,1.0,0,0,0,0.0,0,0,1,0,0,0,0,36.7461,10.3046
220000,0,128.0,3.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.7676,10.2246
550000,0,170.0,3.0,1.0,1,0,1,0.0,0,0,1,0,1,1,0,36.7704,10.2722
2200000,0,527.0,3.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8585,10.1939
510000,0,200.0,3.0,2.0,0,1,0,0.0,1,0,1,0,1,1,0,36.7026,10.4246
1150000,0,300.0,5.0,1.0,0,0,0,0.0,1,0,1,0,1,1,0,36.7726,10.2742
790000,0,400.0,3.0,2.0,0,1,0,0.0,1,0,1,0,1,1,1,36.8974,10.1643
395000,0,170.0,3.0,1.0,0,0,0,1.0,1,0,0,0,0,1,0,36.7743,10.2794
670000,0,483.0,3.0,2.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8715,10.1992
710000,0,242.0,2.0,2.0,1,0,0,0.0,1,0,1,0,1,0,0,36.8151,10.0842
300000,0,320.0,3.0,2.0,0,0,1,0.0,1,0,1,0,0,1,0,36.8829,10.2064
850000,0,536.0,3.0,1.0,0,0,0,0.0,0,0,1,0,0,0,0,36.8088,10.1069
385000,0,330.0,3.0,2.0,0,0,0,0.0,1,0,1,1,0,0,0,36.7018,10.3939
450000,0,200.0,4.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8922,10.174
480000,0,200.0,4.0,2.0,0,1,0,0.0,1,0,1,0,0,0,0,36.7093,10.4085
600000,0,349.0,3.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8121,10.0939
480000,0,148.0,3.0,1.0,1,0,1,0.0,1,0,1,0,1,0,0,36.8167,10.0886
648000,0,410.0,5.0,2.0,0,0,0,0.0,1,0,1,0,0,0,0,36.7417,10.3076
500000,0,323.0,3.0,1.0,0,1,0,0.0,1,0,1,0,0,0,0,36.7528,10.2174
520000,0,260.0,4.0,2.0,1,0,1,0.0,1,0,1,0,1,1,0,36.815,10.0822
870000,0,360.0,7.0,2.0,0,0,1,0.0,1,0,1,0,0,0,0,36.8912,10.1708
740000,0,200.0,6.0,2.0,1,1,1,0.0,1,0,0,0,0,0,0,36.7052,10.4022
670000,0,440.0,4.0,3.0,0,1,0,0.0,1,0,1,0,0,0,0,36.7753,10.2785
290000,0,150.0,3.0,3.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8182,10.0825
570000,0,240.0,4.0,1.0,0,0,0,0.0,1,0,1,0,1,1,0,36.9019,10.1679
350000,0,350.0,3.0,1.0,0,1,0,0.0,1,0,1,0,0,0,0,36.8644,10.2003
550000,0,350.0,3.0,1.0,0,0,0,0.0,1,0,1,0,0,1,0,36.9211,10.1809
1150000,0,250.0,3.0,3.0,1,0,0,0.0,1,0,1,0,1,1,1,36.8827,10.2641
560000,0,210.0,4.0,1.0,0,1,1,0.0,1,0,1,0,1,1,0,36.7675,10.2731
750000,0,425.0,5.0,3.0,0,1,1,0.0,1,0,1,0,1,1,0,36.7036,10.4177
550000,0,200.0,4.0,2.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8018,10.1111
165000,0,89.0,2.0,1.0,0,0,0,1.0,1,0,0,0,0,0,0,36.81,10.0954
450000,0,231.0,3.0,3.0,1,1,0,0.0,1,0,1,0,0,0,0,36.7102,10.4206
300000,0,0.0,3.0,1.0,0,1,0,1.0,1,0,0,0,0,0,0,36.7568,10.2246
580000,0,260.0,5.0,2.0,0,0,1,0.0,1,0,1,0,0,0,0,36.8862,10.1885
880000,0,512.0,5.0,4.0,1,1,0,0.0,1,0,1,0,1,1,0,36.8013,10.1053
680000,0,200.0,3.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.7472,10.2534
555000,0,180.0,4.0,1.0,0,1,1,0.0,1,0,1,0,1,1,0,36.7646,10.2869
1550000,0,452.0,5.0,3.0,1,1,1,0.0,1,0,1,0,0,0,0,36.856,10.1512
900000,0,450.0,4.0,2.0,0,0,1,0.0,1,0,1,0,0,0,0,36.8922,10.1673
320000,0,90.0,4.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.7639,10.2841
750000,0,450.0,4.0,2.0,0,1,0,0.0,1,0,1,0,0,1,0,36.9103,10.2997
510000,0,300.0,4.0,3.0,1,0,0,0.0,1,0,1,0,0,1,0,36.7682,10.2897
1100000,0,658.0,6.0,3.0,0,0,0,0.0,1,0,1,0,0,0,0,36.8131,10.096
795000,0,392.0,4.0,3.0,0,1,0,0.0,1,0,1,0,0,0,0,36.7644,10.2671
370000,0,299.0,4.0,2.0,0,0,0,0.0,1,0,0,0,0,1,0,36.7187,10.4498
430000,0,387.0,3.0,2.0,0,0,0,0.0,1,0,1,0,1,0,0,36.8621,10.1871
650000,0,337.0,5.0,5.0,0,0,0,0.0,1,0,1,0,0,1,0,36.8608,10.1966
390000,0,120.0,3.0,1.0,0,0,0,0.0,1,0,1,0,0,0,0,36.9026,10.1845
