prix,categorie,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,lat,lon
1450000.0,0,250.0,7.0,4.0,0,0,0,2,1,0,1,0,0,0,0,36.8790882,10.327678
3500000.0,0,957.0,3.0,2.0,0,0,0,2,1,0,1,0,1,1,0,36.8548083,10.3309924
600000.0,0,465.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.7740793,10.1858864
600000.0,0,270.0,3.0,3.0,0,0,0,0,1,0,1,0,0,0,0,36.8749751,10.2454267
480000.0,0,350.0,4.0,4.0,0,1,0,3,1,0,0,0,1,1,0,36.68123,10.3784719
1300000.0,0,292.0,7.0,5.0,0,1,0,2,1,0,1,0,0,0,1,36.8749751,10.2454267
400000.0,0,400.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,36.7271754,10.2096871
800000.0,0,225.0,5.0,2.0,0,0,0,1,0,0,0,0,0,0,0,36.8142752,10.1374251
800000.0,0,413.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,36.767891,10.2724617
5400000.0,0,795.0,5.0,2.0,0,0,0,0,0,0,1,0,0,0,0,36.8548083,10.3309924
1200000.0,0,690.0,7.0,2.0,0,1,1,2,1,0,1,0,0,0,0,36.8010998,10.1095729
295000.0,0,200.0,6.0,3.0,0,1,0,3,1,0,1,0,0,0,0,36.8492607,9.9353189
750000.0,0,597.0,6.0,4.0,0,0,0,2,1,0,1,0,0,0,0,36.68123,10.3784719
790000.0,0,418.0,7.0,4.0,0,0,0,2,1,0,0,0,0,0,0,36.68123,10.3784719
529996.0,0,300.0,4.0,2.0,0,0,1,2,1,0,0,0,0,0,0,36.8346533,10.129857933607912
650000.0,0,520.0,6.0,2.0,0,1,0,2,1,0,1,1,0,0,0,36.68123,10.3784719
650000.0,0,500.0,8.0,4.0,0,0,0,2,0,0,0,0,0,0,0,36.88266445,10.179112983298108
150000000.0,0,106.0,4.0,2.0,0,0,0,2,0,0,0,0,0,0,0,35.15881,8.8307812
980000.0,0,480.0,4.0,2.0,0,0,0,0,0,0,1,0,0,0,0,36.9208825,10.1371088
780000.0,0,380.0,5.0,3.0,0,1,0,3,0,0,1,1,0,0,0,36.7404497,10.3029461
850000.0,0,503.0,7.0,5.0,0,0,0,2,0,0,1,0,1,1,0,36.8212581,10.1531771
1600000.0,0,450.0,5.0,3.0,0,1,0,2,1,0,1,0,0,0,0,36.8423974,10.1571247
3099998.0,0,672.0,5.0,5.0,0,0,0,3,1,0,1,0,0,0,1,36.8334618,10.1708613
1990000.0,0,500.0,6.0,4.0,0,1,0,2,1,0,0,0,1,1,1,36.8334618,10.1708613
1700000.0,0,616.0,8.0,3.0,1,0,0,1,1,0,1,0,1,1,0,36.8421942,10.1131594
600000.0,0,158.0,3.0,2.0,0,1,0,2,0,0,1,0,0,0,0,36.8491478,10.2639359
380000.0,0,441.0,5.0,3.0,0,1,0,0,0,0,0,0,0,0,0,36.8656931,10.1687265
680000.0,0,307.0,3.0,3.0,1,0,0,0,1,0,0,0,1,1,0,36.9685735,10.1219855
340000.0,0,180.0,4.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.719825,10.2192362
270000.0,0,130.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.7188,10.3377872
