id,nombre_des_chambres_df_results,nombre_des_chambres_df_final
691ba5e0145e1617cba7b0b0,4,4.0
691b6999265523b710e6b567,3,5.0
691ad3e3265523b710e64bd8,2,4.0
691a3085265523b710e61b71,5,5.0
6919d354145e1617cba6b13a,10,6.0
6919f17a145e1617cba6c3ee,3,3.0
6919be9c145e1617cba6a521,0,3.0
68f3ccbfd0d95991e1ffc96b,3,4.0
6839b4f8a2a7af1206228b9f,1,2.0
691aeb06145e1617cba73050,5,6.0
691a0161265523b710e5f89b,2,4.0
68ed15b33e7ffb8ac15a1513,3,3.0
6919d1bf265523b710e5dc28,4,5.0
691b2548145e1617cba75c19,0,12.0
6909be168e4e0e4acb5ce594,0,6.0
691a1b8c145e1617cba6df86,4,4.0
691a0b16145e1617cba6d3a1,10,10.0
691777ad145e1617cba5b4eb,2,3.0
6918c4d9145e1617cba64b76,2,3.0
69184844145e1617cba60458,3,3.0
69178fb6145e1617cba5c754,0,2.0
691740a9265523b710e4b921,3,3.0
6918c609145e1617cba64c1a,0,2.0
6917d30e265523b710e51188,0,5.0
681c7882c5beda2b51db4243,4,4.0
691777f5145e1617cba5b51d,0,2.0
69177e1a265523b710e4e427,0,8.0
6918f129265523b710e59284,2,2.0
687901c9d5464a896caec3f1,3,4.0
69173e59145e1617cba58d45,2,3.0
69170738145e1617cba56486,3,4.0
691605d5145e1617cba4edf4,3,4.0
69173c4d265523b710e4b581,0,2.0
69162d69145e1617cba50a7f,0,6.0
69166cf3145e1617cba52f5d,0,3.0
6916ed63265523b710e47ac7,3,3.0
691726bc145e1617cba57b16,7,7.0
6917009b265523b710e489dc,6,2.0
69173d90265523b710e4b6a1,6,3.0
6915f90f145e1617cba4e579,3,3.0
6916ec51265523b710e479ff,2,2.0
69161a87145e1617cba4fd40,0,4.0
68b5bc74711369bbe4f5d7db,3,4.0
68daba12516f1ddb82e61775,8,4.0
6915ea90265523b710e4032e,0,4.0
68dd52fd516f1ddb82e7adf0,5,4.0
69159097145e1617cba49533,0,3.0
6914f1ed145e1617cba46b99,4,6.0
6915ab57265523b710e3d255,3,3.0
6914de96145e1617cba45d2f,4,4.0
6915a1f6265523b710e3caaf,3,2.0
6915c5e9265523b710e3e950,4,4.0
6915c499265523b710e3e83c,2,2.0
691593c8265523b710e3c08e,0,4.0
69120249145e1617cba2a051,6,8.0
68f77072c2818064df214a8b,5,5.0
691490f2265523b710e35064,4,4.0
691464e1145e1617cba4042a,3,3.0
691374d3145e1617cba3904c,3,3.0
69139fee265523b710e2d95e,4,5.0
691471ec265523b710e338a5,3,4.0
68d2f127516f1ddb82e18c68,2,1.0
69143074145e1617cba3e1f4,0,2200.0
6913b301265523b710e2e752,0,3.0
69134ad9265523b710e299de,3,3.0
690dc720145e1617cb9e7364,4,5.0
69144225265523b710e31218,6,6.0
68a83bb682a3d05f238f4d7a,3,3.0
6912fb10145e1617cba33409,3,3.0
68fb357ad0d95991e103d186,5,7.0
682c4fcc6e84e888afbf0b21,4,5.0
67c5850a93928ac5bc159498,5,7.0
69131848145e1617cba34c00,5,5.0
69132200265523b710e27ada,7,7.0
6912fff2145e1617cba33760,3,4.0
6839cc94a2a7af120622a17f,0,4.0
6911f071145e1617cba2852e,1,3.0
690a0da56490817594e35f0e,4,5.0
691319b7145e1617cba34d14,5,7.0
6911e8df145e1617cba27a27,12,12.0
69130758145e1617cba33d49,6,6.0
68cc183907c7711d7c6fb0de,6,6.0
6911ae5c145e1617cba21baf,2,2.0
6911bb8d145e1617cba232ec,3,3.0
6906320d8e4e0e4acb5afd2d,0,3.0
