id,prix_df_results,prix_df_final
68d65b35516f1ddb82e377c8,1990000,1990000.0
6931d331265523b710efc8cc,0,0.0
6931a7d5265523b710efb2d3,0,95000.0
69314f65145e1617cbb04dc1,130,130.0
6931ddc3145e1617cbb0a052,0,1111.0
6931d371265523b710efc8f0,0,0.0
693191a2265523b710efa62c,780000,779998.0
6931aaee145e1617cbb087a0,800000,800000.0
692d5781145e1617cbaea371,600000,600000.0
6931ab9a145e1617cbb08809,120000,120000.0
69300eb9265523b710eefd9b,1300000,1300000.0
68e0d4c7e7035d31a40eedf4,330000,330000.0
693063ed265523b710ef3021,0,400.0
685455d38a733cfc286ebd5d,0,210000.0
69302a82145e1617cbafe305,0,10.0
69304fb2265523b710ef24a2,0,460.0
68bc5851c4782c5427ad08da,0,640000.0
692f7038145e1617cbafa5a6,0,220.0
692d544a265523b710edcbd9,795,795000.0
69301d87265523b710ef07fe,0,495000.0
692f79f1265523b710eed34b,0,120.0
692f251b145e1617cbaf7dba,0,1050000.0
6930e3f9145e1617cbb038f7,0,850000.0
68ce751407c7711d7c71145a,0,850000.0
692f054b145e1617cbaf6b1b,650000,650000.0
693066c1145e1617cbb0054b,0,0.0
692efe80265523b710ee91ba,0,400.0
692d7f70145e1617cbaebcc8,0,0.0
692dbcf2145e1617cbaee11b,0,2500000.0
692ecf0d145e1617cbaf4998,0,
692eab23145e1617cbaf315c,1500000,1500000.0
6924415eda5d3acb89b3377a,650000,650000.0
692db450265523b710ee05c0,0,900000.0
692ee5ff265523b710ee8193,2900000,2900000.0
68fb870bd0d95991e10411da,0,450000.0
692dd570145e1617cbaeeefd,0,150000.0
692d69a6265523b710edd899,0,0.0
691f82c8145e1617cba97c87,450000,450000.0
692d7f45265523b710ede679,650000,650000.0
692eac31145e1617cbaf3205,0,280000.0
692d7d8a265523b710ede565,0,380.0
692dba9f265523b710ee09ad,920000,920000.0
692d57e0265523b710edcd57,0,247000.0
69023361d0d95991e107a24e,0,1.0
692c58f4145e1617cbae5b27,0,350000.0
692c366f145e1617cbae4c59,0,1400.0
692ae766265523b710ed14af,0,80000.0
69244122145e1617cbab9bea,545000,545000.0
