id,surface_df_results,surface_df_final
6915c5e9265523b710e3e950,0.0,0.0
6915c499265523b710e3e83c,0.0,130.0
691593c8265523b710e3c08e,0.0,312.0
69120249145e1617cba2a051,113.0,113.0
68f77072c2818064df214a8b,350.0,450.0
691490f2265523b710e35064,300.0,300.0
691464e1145e1617cba4042a,260.0,260.0
691374d3145e1617cba3904c,134.0,134.0
69139fee265523b710e2d95e,762.0,762.0
691471ec265523b710e338a5,350.0,350.0
68d2f127516f1ddb82e18c68,0.0,80.0
69143074145e1617cba3e1f4,0.0,2200.0
6913b301265523b710e2e752,0.0,220.0
69134ad9265523b710e299de,200.0,200.0
690dc720145e1617cb9e7364,188.0,188.0
69144225265523b710e31218,400.0,400.0
68a83bb682a3d05f238f4d7a,0.0,160.0
6912fb10145e1617cba33409,141.0,140.0
68fb357ad0d95991e103d186,414.0,414.0
682c4fcc6e84e888afbf0b21,135.0,135.0
67c5850a93928ac5bc159498,145.0,145.0
69131848145e1617cba34c00,0.0,110.0
69132200265523b710e27ada,0.0,720.0
6912fff2145e1617cba33760,440.0,440.0
6839cc94a2a7af120622a17f,500.0,300.0
6911f071145e1617cba2852e,74.0,74.0
690a0da56490817594e35f0e,0.0,300.0
691319b7145e1617cba34d14,360.0,360.0
6911e8df145e1617cba27a27,599.0,599.0
69130758145e1617cba33d49,0.0,400.0
68cc183907c7711d7c6fb0de,335.0,335.0
6911ae5c145e1617cba21baf,420.0,420.0
6911bb8d145e1617cba232ec,210.0,210.0
6906320d8e4e0e4acb5afd2d,0.0,369.0
6911aed9145e1617cba21c99,0.0,400.0
6911c583145e1617cba2450a,0.0,150.0
6911c2d1145e1617cba23fc1,0.0,130.0
68f62269d0d95991e100ffd5,250.0,310.0
68f37fa8b756576ab40342f9,0.0,250.0
6911e653145e1617cba2766a,83.0,470.0
6911db23145e1617cba26440,122.0,122.0
688cc987fde7ee723b411760,700.0,700.0
6911d1b7145e1617cba25705,408.0,408.0
6911e559145e1617cba27501,0.0,
69106b3c145e1617cba0fb2a,0.0,165.0
68baaf49c4782c5427abea7e,550.0,527.0
6911cfbe145e1617cba25424,130.0,261.0
690e2a70145e1617cb9efa09,120.0,280.0
690e4c41145e1617cb9f2b12,0.0,420.0
690fa0b1145e1617cba076e3,0.0,100.0
690eedef145e1617cb9f9aab,90.0,90.0
690f2d94145e1617cb9fe623,141.0,140.0
690e09e4145e1617cb9ecfa4,0.0,200.0
690efe4b145e1617cb9fa975,140.0,260.0
690f1e88145e1617cb9fd327,280.0,440.0
690fc153145e1617cba0a1b6,0.0,1.0
690f1557145e1617cb9fc6b4,410.0,410.0
68aed70f82a3d05f23939363,336.0,336.0
690c5a688e4e0e4acb5e45e8,84.0,84.0
690cba9c8e4e0e4acb5e8d8f,0.0,
690c887f6490817594e4a41e,200.0,220.0
690dd6f1145e1617cb9e8af8,0.0,189.0
690c8a3a6490817594e4a55a,0.0,112.0
690ce10b8e4e0e4acb5ea63e,500.0,22.0
690db1c3145e1617cb9e52a7,0.0,124.0
68ac283541fb09fcf7da21e1,700.0,1080.0
686689a8d5464a896ca1f027,550.0,550.0
690ca74a8e4e0e4acb5e7f80,530.0,530.0
68bee3f2c4782c5427ae7d6e,0.0,300.0
690c49db6490817594e47603,0.0,120.0
68ee988153fa6375757c7796,0.0,210.0
690bc08f6490817594e44fcc,80.0,80.0
690b48948e4e0e4acb5dc888,0.0,330.0
68da933e516f1ddb82e5f343,0.0,530.0
690a3c246490817594e382d0,0.0,150.0
690b16088e4e0e4acb5da1b4,0.0,156.0
67c03a5faf2813f8075b63aa,0.0,1020.0
690bc3756490817594e4517a,225.0,225.0
690a2cfa8e4e0e4acb5d3f83,156.0,256.0
68bf01dd985e647fd0ea9d59,490.0,490.0
690bbee06490817594e44ebf,265.0,265.0
690b331b8e4e0e4acb5db881,300.0,347.0
6909c6ca8e4e0e4acb5ced09,0.0,164.0
6909f6536490817594e34c2d,99.0,99.0
6908bba28e4e0e4acb5c5dc2,910.0,910.0
690881a31f77ff74fcddffd5,170.0,170.0
6909e4bd8e4e0e4acb5d05fa,450.0,505.0
6909c8cf8e4e0e4acb5ceeca,0.0,100.0
6909db148e4e0e4acb5cfd53,0.0,1000.0
676aba96f39faeaa98c0bc8a,0.0,
68d16eee516f1ddb82e089de,101.0,101.0
6908f15a8e4e0e4acb5c8610,150.0,150.0
690941706490817594e2f22f,78.0,78.0
690755478e4e0e4acb5b805f,500.0,500.0
6907075f6490817594e18cce,410.0,410.0
690878798e4e0e4acb5c2465,124.0,124.0
690615686490817594e125ea,154.0,154.0
690603f78e4e0e4acb5ae034,85.0,85.0
6905eddf8e4e0e4acb5ad1d7,301.0,3.0
69072f728e4e0e4acb5b6626,600.0,540.0
69050c096490817594e0ad88,0.0,170.0
6904bb318e4e0e4acb5a3602,200.0,200.0
6903cba9d0d95991e1088e1d,0.0,110.0
69037426d0d95991e1084e93,704.0,704.0
69037a0fd0d95991e10852f6,330.0,330.0
690472d78e4e0e4acb59fb36,0.0,
690480ad6490817594e041d2,280.0,252.0
68cd65da07c7711d7c707d72,200.0,200.0
6904f2a48e4e0e4acb5a6015,0.0,133.0
6904d8638e4e0e4acb5a4dd1,145.0,416.0
69037beed0d95991e1085487,480.0,480.0
6900a086b756576ab40a6208,300.0,500.0
69031ec9d0d95991e108098d,420.0,420.0
68dd3de707c7711d7c7a1fa4,573.0,
6902007fb756576ab40b2cb3,0.0,198.0
6901ff43d0d95991e1077a48,0.0,166.0
6903097ab756576ab40bb0ed,380.0,380.0
68e3a1786c505afdc05f786e,230.0,230.0
690089a3d0d95991e1069da7,0.0,230.0
69022974d0d95991e1079a6c,210.0,210.0
69033381b756576ab40bcbfe,136.0,136.0
67347bd83c20a99fb54edfff,1900.0,1900.0
690110c3d0d95991e10708a7,0.0,430.0
68f6242a5709529b94aa45f4,2020.0,2020.0
68b2cce6df9d8936c1026f38,0.0,145.0
6901109fd0d95991e1070888,0.0,156.0
68f908b7b756576ab40659b2,4000.0,4000.0
68ff80c1d0d95991e106196e,0.0,150.0
68d678dd516f1ddb82e3923c,450.0,816.0
68ff616ed1363f4f82bbfe8f,0.0,200.0
68a5d83fccec382a0d7187f6,400.0,620.0
68ffa954b756576ab409e5f5,0.0,70.0
