id,nombre_des_salles_de_bains_df_results,nombre_des_salles_de_bains_df_final
692d69a6265523b710edd899,0,1.0
691f82c8145e1617cba97c87,0,1.0
692d7f45265523b710ede679,2,1.0
692eac31145e1617cbaf3205,2,2.0
692d7d8a265523b710ede565,0,1.0
692dba9f265523b710ee09ad,4,5.0
692d57e0265523b710edcd57,0,1.0
69023361d0d95991e107a24e,2,2.0
692c58f4145e1617cbae5b27,0,2.0
692c366f145e1617cbae4c59,0,5.0
692ae766265523b710ed14af,0,1.0
69244122145e1617cbab9bea,2,2.0
692c96b7265523b710ed9e4b,0,7.0
692c3a2d145e1617cbae4e4e,1,1.0
692c7b373f69a851e0bb46f6,0,1.0
690a2e8e6490817594e37938,4,3.0
692b543c145e1617cbae18b7,2,2.0
68deb88a6c505afdc05cbd39,0,2.0
692c34c13872f35e61c47bf9,0,1.0
692b6623145e1617cbae1f36,2,2.0
692c5102265523b710ed81a1,2,2.0
692c3a30265523b710ed7815,0,1.0
692c7acc145e1617cbae686e,0,2.0
692c5f46265523b710ed87d0,0,2.0
692c3a86265523b710ed783a,0,4.0
6913a608145e1617cba3b68f,0,2.0
6711244e1cde9a414fa9438c,2,4.0
6929f0a6265523b710ecc5e6,2,2.0
69221023145e1617cbaa981b,1,1.0
6929822e145e1617cbad6a9d,1,1.0
67b83bbbbf049e957eabc6ff,2,3.0
6929ab43f6824a8059169b08,1,3.0
687237fed5464a896ca9c97d,0,4.0
681f3268a9299683d0a944d0,1,1.0
6929d4b9145e1617cbad90e4,2,2.0
6929e4c2265523b710ecc196,0,2.0
68da6ea974e03a77e7ab8414,0,5.0
68023682c1f8f57898db1d01,2,3.0
68e52f0fe7035d31a41187b4,1,1.0
691d77e8265523b710e77703,3,4.0
692ac16d265523b710ed0210,5,4.0
6929a2287c1b75e049921517,0,1.0
69289a3b265523b710ec4739,2,2.0
690b66948e4e0e4acb5ddcfa,3,4.0
68d3fad507c7711d7c74a01a,2,2.0
69295c0c145e1617cbad57ca,2,2.0
68b0848a82a3d05f2394ce9b,0,1.0
6929020b145e1617cbad4952,2,3.0
692883d9465e3fc37e6e85d3,4,5.0
6928761a265523b710ec3550,2,2.0
69273820145e1617cbaca2eb,2,2.0
69280ffb265523b710ec0673,0,6.0
692733bd265523b710ebc9a1,1,1.0
6926055d145e1617cbac456f,0,1.0
69272fd8265523b710ebc816,2,2.0
69282dee265523b710ec164b,0,3.0
687907d5d5464a896caec9be,4,3.0
692750c1265523b710ebd53d,1,1.0
6911f87a145e1617cba29128,2,3.0
6926c6d6265523b710eb9996,0,2.0
69245c18265523b710eacfb7,1,3.0
6925b7ee265523b710eb4afb,2,2.0
68714f13d5464a896ca94e2b,4,4.0
6924d0df145e1617cbabdcac,0,2.0
6924a80a6e0dc7ea5e33db7f,2,3.0
69248e2e145e1617cbabbf4d,1,1.0
692479bdda5d3acb89b35102,0,1.0
692588bf9ae0bfe01c80f03a,2,2.0
6925c6ca145e1617cbac2a33,3,3.0
69257b7f265523b710eb2e41,1,1.0
6924c483145e1617cbabd730,0,2.0
68cc022f07c7711d7c6f9bbc,2,3.0
69258131c988d694371576d3,0,6.0
69208016265523b710e910ad,3,5.0
6925cae5265523b710eb53c8,1,1.0
691d98c8265523b710e79005,0,3.0
692456fe145e1617cbaba560,0,1.0
69233b04265523b710ea494c,1,1.0
6924295a265523b710eab74d,0,5.0
690f55a6145e1617cba01645,3,3.0
6921e69d265523b710e9a9c9,0,2.0
6922ce19265523b710e9ffaa,0,1.0
69232d0b265523b710ea4000,1,1.0
6922e924265523b710ea11e8,2,2.0
6921f784145e1617cbaa89ff,0,1.0
6922fd00265523b710ea1f6f,1,1.0
6922fd3b265523b710ea1f87,1,1.0
68d5810107c7711d7c7592a3,2,3.0
6923416c145e1617cbab242d,0,7.0
6923254e145e1617cbab111b,2,1.0
68d7d777516f1ddb82e469fe,1,2.0
6807ce86c5beda2b51cd3ea9,0,1.0
69206796145e1617cba9d34a,1,2.0
69203646265523b710e8dd69,3,4.0
69204a01145e1617cba9c155,4,2.0
67e133cbca3467b14e6bbf19,2,2.0
68c54779e33e2deec930a3a7,1,2.0
690f4918145e1617cba00725,5,5.0
685acae7d5464a896c9a33e8,1,2.0
69208d23265523b710e91ab5,2,1450000.0
692159df145e1617cbaa3b9b,2,2.0
68c67604516f1ddb82d9aed5,2,6.0
680cec92c1f8f57898e2b0ad,4,5.0
69201720145e1617cba99f46,0,3.0
69202ea9265523b710e8d6d2,5,4.0
691ee542145e1617cba9091a,0,2.0
687e457bd5464a896cb25ddf,5,4.0
