,id,url,titre,categorie,gouvernorat,neuf,source
105,105,https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/a-vendre-s1-a-ain-zaghouan/693a8e12cd04d08be749166b/,A vendre s1 a ain zaghouan,Appartements,Tunis,False,tayara
106,106,https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/-vendre-appartement-s2-cit-ennasr-2-rezdechausse/693a8e10cd04d08be7491666/,À vendre | Appartement S+2 à Cité Ennasr 2 – Rez-de-chaussée,Appartements,Ariana,False,tayara
107,107,https://www.tayara.tn/item/appartements/ben-arous/rads/appartement-choucha-rads-94332780/693a8dfacd04d08be7491655/,Appartement à Choucha Radés 94332780,Appartements,Ben Arous,False,tayara
108,108,https://www.tayara.tn/item/appartements/ariana/la-soukra/a-vendre-un-mignon-appartement-s1-laouina-/6932e18acd04d08be745dc0f/,🏠A vendre un mignon appartement S+1 à l'Aouina 🏠,Appartements,Ariana,False,tayara
109,109,https://www.tayara.tn/item/appartements/monastir/monastir/a-vendre-appartement-s2-monastir-centre/69282c76145e1617cbacecd9/,A vendre : appartement S+2 à Monastir centre,Appartements,Monastir,False,tayara
110,110,https://www.tayara.tn/item/maisons-et-villas/ariana/el-menzah-8/a-vendre-une-villa-a-menzah-8/693a8d8b8914daae51998bf6/,a vendre une villa a menzah 8,Maisons et Villas,Ariana,False,tayara
111,111,https://www.tayara.tn/item/appartements/monastir/monastir/a-vendre-appartement-s1-au-rezdechausse-monastir-citeelomran/6921b5c3145e1617cbaa6768/,A vendre : Appartement S+1 au rez-de-chaussée à Monastir_ Cite_El_Omran,Appartements,Monastir,False,tayara
112,112,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-un-appartement-s2-jardin-laouina/691332a9145e1617cba35fd5/,A vendre un appartement s+2 jardin l'aouina,Appartements,tunis,False,tayara
113,113,https://www.tayara.tn/item/appartements/ariana/ariana-essoughra/av-appartement-s3-ariana-essoghra/693a8c748914daae51998b5d/,AV appartement S+3 ariana essoghra,Appartements,Ariana,False,tayara
114,114,https://www.tayara.tn/item/maisons-et-villas/sousse/khzema/villa-khezema-ouest-dans-un-quartier-rsidentiel/692ae31f145e1617cbade910/,"Villa à Khezema ouest , dans un quartier résidentiel",Maisons et Villas,Sousse,False,tayara
115,115,https://www.tayara.tn/item/maisons-et-villas/sousse/sousse-riadh/maison-cit-riadh-proche-de-toutes-commodits/68fb7ca9b756576ab407b536/,"Maison à Cité Riadh , Proche de toutes  Commodités",Maisons et Villas,Sousse,False,tayara
116,116,https://www.tayara.tn/item/maisons-et-villas/sousse/kala-sghira/villa-sur-un-axe-principale-kala-sghira/68c05c22c4782c5427af79ab/,Villa Sur un Axe Principale à kalàa Sghira,Maisons et Villas,Sousse,False,tayara
117,117,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-s1-wahat-tel-58713586-fb8250/693a8c538914daae51998b47/,A VENDRE – S+1 – WAHAT – TEL – 58713586 – FB.8250,Appartements,Tunis,False,tayara
