,id,url,titre,categorie,gouvernorat,neuf,source
37,37,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-corniche/693a8efe8914daae51998cd4/,A Vendre S+2 Corniche,Appartements,Sousse,False,tayara
38,38,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a7cecd04d08be748c561/,A Vendre S+3 Corniche,Appartements,Sousse,False,tayara
39,39,https://www.tayara.tn/item/maisons-et-villas/tunis/le-kram/-vendre-villa-deux-tages-spars-kherredine-banlieue-nord-de-tunis/6939442bcd04d08be7488947/,"À vendre : Villa à deux étages séparés – Kherredine, banlieue nord de Tunis",Maisons et Villas,Tunis,False,tayara
40,40,https://www.tayara.tn/item/appartements/sousse/chatt-mariem/appartement-vendre/691627c3145e1617cba5063b/,appartement à vendre,Appartements,Sousse,False,tayara
41,41,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a5ffcd04d08be748c449/,A Vendre S+3 Corniche,Appartements,Sousse,False,tayara
42,42,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a0d9cd04d08be748c187/,A Vendre S+3 Corniche,Appartements,Sousse,False,tayara
43,43,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-corniche/69399ba68914daae5199356c/,A Vendre S+2 Corniche,Appartements,Sousse,False,tayara
44,44,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-sidi-abdelhmid/693a8ca4cd04d08be749159f/,A Vendre S+2 Sidi Abdelhmid,Appartements,Sousse,False,tayara
45,45,https://www.tayara.tn/item/appartements/tunis/tunis/a-vendre-s2-corniche/693998dfcd04d08be748bd1a/,A Vendre S+2 Corniche,Appartements,tunis,False,tayara
46,46,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-corniche/6939976bcd04d08be748bc0f/,A Vendre S+2 Corniche,Appartements,Sousse,False,tayara
47,47,https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-des-appartements-duplex-direct-promoteur-la-soukra/693aa6cd8914daae51999ca2/,A VENDRE : Des Appartements & Duplex – Direct Promoteur | La Soukra,Appartements,Tunis,False,tayara
48,48,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-un-spacieux-appartement-s2-direct-promoteur-la-nouvelle-soukra/693aa6b9cd04d08be7492671/,À Vendre : Un spacieux appartement S+2 (Direct Promoteur) à La Nouvelle Soukra,Appartements,Tunis,False,tayara
49,49,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-un-spacieux-s3-sur-lavenue-taieb-mhiri/6925cdd3265523b710eb5552/,A vendre un spacieux s+3 sur l'avenue Taieb Mhiri,Appartements,Sousse,False,tayara
50,50,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-et-s3-situs-la-nouvelle-soukra-direct-promoteur-/693aa68e8914daae51999c60/,"À VENDRE : Des appartements S+1, S+2 et S+3 situés à La Nouvelle Soukra ( Direct promoteur )",Appartements,Tunis,False,tayara
51,51,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-s3-direct-promoteur-la-nouvelle-soukra/693aa6528914daae51999c29/,"À VENDRE : Des appartements S+1, S+2 & S+3 , (Direct Promoteur) à La Nouvelle Soukra",Appartements,Tunis,False,tayara
52,52,https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-s3-direct-promoteur-situ-cit-wahat/693aa5e4cd04d08be74925c2/,"À VENDRE : Des appartements S+1, S+2 & S+3 , (Direct Promoteur) situé à Cité Wahat.",Appartements,Tunis,False,tayara
53,53,https://www.tayara.tn/item/appartements/ariana/tunis/a-vendre-s3-a-ennassr-2/684bfbaa92753d6d79af8d08/,A vendre S+3 A Ennassr 2,Appartements,ariana,False,tayara
54,54,https://www.tayara.tn/item/appartements/tunis/tunis/s1-jardins-dennasr/6904c2146490817594e077fc/,S+1 à Jardins D'Ennasr,Appartements,tunis,False,tayara
55,55,https://www.tayara.tn/item/appartements/tunis/tunis/s3-jardin-dennaser/6904c1338e4e0e4acb5a3b57/,S+3 à Jardin d'ennaser,Appartements,tunis,False,tayara
56,56,https://www.tayara.tn/item/appartements/tunis/tunis/a-vendre-s2-a-jardin-dennassr/689f17737e1ff28d3ad464fa/,A vendre S+2 A jardin D'Ennassr,Appartements,tunis,False,tayara
57,57,https://www.tayara.tn/item/maisons-et-villas/ben-arous/ezzahra/a-vendre-appartement-s2-cit-el-habib-ezzahra/693aa418cd04d08be749245d/,A VENDRE APPARTEMENT S+2 CITÉ EL HABIB EZZAHRA,Maisons et Villas,Ben Arous,False,tayara
