id,prix,categorie,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,lat,lon,predicted_price
693461288914daae5196f842,150000000.0,0,106.0,4.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.8601,10.1971,9.47953
68f62050b756576ab404a7a8,980000.0,0,480.0,4.0,2.0,0,0,0,0,0,0,1,0,0,0,0,36.7254,10.3019,4.399671
693546fc8914daae5197407e,780000.0,0,380.0,5.0,3.0,0,1,0,3,0,0,1,1,0,0,0,36.7436,10.3097,9.47953
685030018bda81f7f5ddf6f6,850000.0,0,503.0,7.0,5.0,0,0,0,2,0,0,1,0,1,1,0,36.8369,10.1394,9.47953
6821ba04cb21b3571b421a9a,1600000.0,0,450.0,5.0,3.0,0,1,0,2,1,0,1,0,0,0,0,36.8548,10.1639,9.47953
685128450e1c20e3eb0bd78a,3099998.0,0,672.0,5.0,5.0,0,0,0,3,1,0,1,0,0,0,1,36.8416,10.1587,9.47953
6918395e265523b710e526af,1990000.0,0,500.0,6.0,4.0,0,1,0,2,1,0,0,0,1,1,1,36.8416,10.1587,9.47953
69276a02145e1617cbacb81e,600000.0,0,158.0,3.0,2.0,0,1,0,2,0,0,1,0,0,0,0,36.8661,10.2526,9.47953
68ef91573e7ffb8ac15b77d6,380000.0,0,441.0,5.0,3.0,0,1,0,0,0,0,0,0,0,0,0,36.8665,10.1647,4.399671
6932e54a8914daae5196574e,680000.0,0,307.0,3.0,3.0,1,0,0,0,1,0,0,0,1,1,0,36.8665,10.1647,4.399671
68e9206653fa6375757974f1,340000.0,0,180.0,4.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.7239,10.2096,9.47953
69340d108914daae5196cc5d,270000.0,0,130.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.7303,10.3417,4.399671
68f383fbd0d95991e1ff9b74,1000000.0,0,672.0,6.0,4.0,0,1,0,2,1,0,1,0,0,1,0,36.8629,10.1732,9.47953
69189dc6265523b710e5608c,1900000.0,0,502.0,5.0,4.0,0,1,0,5,1,0,1,0,1,1,0,36.8629,10.1732,9.47953
6932dc1dcd04d08be745d8a3,200000000.0,0,100.0,3.0,2.0,0,0,0,0,1,0,0,0,0,0,0,36.8457,10.1039,4.399671
6932bdafcd04d08be745c78e,270000.0,0,220.0,3.0,1.0,0,0,0,0,1,0,0,0,0,0,0,36.8385,10.168,4.399671
693303938914daae51966a03,250000.0,0,190.0,3.0,1.0,0,0,0,2,0,0,1,0,0,0,0,36.9073,10.2081,9.47953
68bf01fdc4782c5427ae9adc,695000.0,0,480.0,7.0,4.0,0,0,0,3,0,0,0,0,0,0,0,36.8665,10.1647,9.47953
693306dccd04d08be745f2ac,390000.0,0,140.0,5.0,2.0,0,1,0,3,0,0,0,0,0,0,0,36.8065,10.1815,9.47953
68bc3f47985e647fd0e8f49d,450000.0,0,355.0,4.0,2.0,0,1,0,0,1,0,0,0,1,1,0,36.8665,10.1647,4.399671
69208ebf145e1617cba9f0e6,320000.0,0,180.0,5.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.8465,10.1602,9.47953
6932da50cd04d08be745d78c,200000000.0,0,100.0,3.0,2.0,0,0,0,0,1,0,0,0,0,0,0,36.8457,10.1039,4.399671
69340e6dcd04d08be74651ed,630000.0,0,417.0,4.0,2.0,0,0,0,0,1,0,0,0,0,0,0,36.8096,10.1364,4.399671
68de3a416c505afdc05c7c2d,1900000.0,0,500.0,5.0,4.0,0,1,0,2,1,0,0,0,1,1,1,36.8416,10.1587,9.47953
693141d1145e1617cbb0472b,349999.0,0,220.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.8281,10.0714,4.399671
68d65b35516f1ddb82e377c8,1990000.0,0,711.0,16.0,7.0,0,0,0,3,1,1,1,0,0,0,0,36.8589,10.1906,9.47953
693191a2265523b710efa62c,780000.0,0,400.0,5.0,3.0,0,0,0,2,1,0,1,0,1,1,0,36.8611,10.2203,9.47953
6931aaee145e1617cbb087a0,800000.0,0,700.0,8.0,4.0,0,0,0,2,0,0,0,0,0,0,0,36.8665,10.1647,9.47953
692d5781145e1617cbaea371,600000.0,0,385.0,5.0,2.0,0,1,0,0,1,0,1,0,0,0,0,36.8096,10.1364,4.399671
6931ab9a145e1617cbb08809,120000.0,0,240.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.7928,10.0927,4.399671
69300eb9265523b710eefd9b,1300000.0,0,380.0,8.0,3.0,0,0,0,2,0,0,1,0,0,0,0,36.8589,10.1906,9.47953
68e0d4c7e7035d31a40eedf4,330000.0,0,220.0,3.0,4.0,0,0,0,3,0,0,0,0,0,1,0,36.8782,10.3247,9.47953
685455d38a733cfc286ebd5d,210000.0,1,140.0,3.0,2.0,0,0,0,1,0,0,0,0,0,0,0,36.8532,10.1647,6.9507422
68bc5851c4782c5427ad08da,640000.0,0,411.0,3.0,2.0,0,0,0,0,1,0,0,0,1,1,1,36.8625,10.1505,4.399671
692d544a265523b710edcbd9,795000.0,0,400.0,9.0,5.0,0,0,0,3,0,0,0,0,0,0,0,36.8111,10.0806,9.47953
69301d87265523b710ef07fe,495000.0,0,200.0,5.0,4.0,0,0,1,1,0,0,0,0,0,1,0,36.8661,10.2526,6.9507422
692f251b145e1617cbaf7dba,1050000.0,0,550.0,12.0,4.0,0,1,1,3,1,0,1,1,0,1,0,36.8609,10.1747,9.47953
6930e3f9145e1617cbb038f7,850000.0,0,880.0,6.0,5.0,0,0,0,0,0,0,1,0,0,0,0,36.8096,10.1364,4.399671
68ce751407c7711d7c71145a,850000.0,0,416.0,6.0,4.0,0,0,0,2,1,0,1,0,1,1,0,36.872,10.2345,9.47953
692f054b145e1617cbaf6b1b,650000.0,0,400.0,3.0,2.0,0,1,0,0,1,0,1,0,0,0,0,36.8354,10.0489,4.399671
692dbcf2145e1617cbaee11b,2500000.0,0,900.0,10.0,7.0,0,0,0,4,1,1,1,1,0,0,1,36.9073,10.2081,9.47953
692eab23145e1617cbaf315c,1500000.0,0,600.0,10.0,5.0,1,0,0,3,1,0,1,1,0,0,0,36.8532,10.1647,9.47953
6924415eda5d3acb89b3377a,650000.0,0,303.0,9.0,5.0,0,1,0,3,1,0,1,0,0,0,0,36.8096,10.1364,9.47953
692db450265523b710ee05c0,900000.0,0,320.0,4.0,2.0,1,1,0,1,1,0,1,0,0,0,0,36.7681,10.2766,6.9507422
692ee5ff265523b710ee8193,2900000.0,0,4000.0,7.0,4.0,1,0,0,0,1,0,1,0,0,0,1,36.9021,10.0403,4.399671
68fb870bd0d95991e10411da,450000.0,0,280.0,3.0,3.0,0,1,0,3,1,0,1,0,0,0,0,36.7116,10.3947,9.47953
692dd570145e1617cbaeeefd,150000.0,0,110.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.8231,10.1416,4.399671
691f82c8145e1617cba97c87,450000.0,0,200.0,9.0,1.0,0,0,0,3,0,0,0,0,0,0,0,36.7254,10.3019,9.47953
