url,title,price,location_time,category,seller
https://www.tayara.tn/item/appartements/ariana/tunis/a-vendre-s3-a-ennassr-2/684bfbaa92753d6d79af8d08/,A vendre S+3 A Ennassr 2,,"ariana, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/tunis/s1-jardins-dennasr/6904c2146490817594e077fc/,S+1 à Jardins D'Ennasr,,"tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/tunis/s3-jardin-dennaser/6904c1338e4e0e4acb5a3b57/,S+3 à Jardin d'ennaser,,"tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/tunis/a-vendre-s2-a-jardin-dennassr/689f17737e1ff28d3ad464fa/,A vendre S+2 A jardin D'Ennassr,,"tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/ben-arous/ezzahra/a-vendre-appartement-s2-cit-el-habib-ezzahra/693aa418cd04d08be749245d/,A VENDRE APPARTEMENT S+2 CITÉ EL HABIB EZZAHRA,,"Ben Arous, 2 hours ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-des-appartements-s1-s2-s3-direct-promoteur-la-nouvelle-soukra/693aa3cecd04d08be749242e/,"A VENDRE : Des Appartements S+1 , S+2 , S+3  (Direct Promoteur) à La Nouvelle Soukra",,"Tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/nabeul/hammam-ghezze/a-vendre-appartement-s1-hamem-leghzez/693aa377cd04d08be74923f9/,A vendre appartement S+1 à hamem leghzez,,"Nabeul, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/ariana/riadh-andalous/vente-riadh-landalous-s3-sans-vis-a-vis/690cb5998e4e0e4acb5e89c0/,vente riadh landalous s+3 sans vis a vis,,"Ariana, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-riadh/appartement-s2-au-quatrime-tage-riadh-5/690474fd8e4e0e4acb59fcd6/,Appartement s+2 au quatrième étage à Riadh 5,,"Sousse, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-riadh/appartement-s3-situ-au-4me-tage-dune-rsidence-bien-entretenu-riadh-5/687b60f394cd0376dce2b4f3/,Appartement S+3 situé au 4éme étage d'une résidence bien entretenu à Riadh 5.,,"Sousse, 2 hours ago",Appartements,
https://www.tayara.tn/item/bureaux-et-plateaux/ben-arous/ben-arous/bureau-vendre-ben-arous/69397a258914daae51992158/,Bureau à vendre à Ben Arous,,"Ben Arous, 2 hours ago",Bureaux et Plateaux,
https://www.tayara.tn/item/appartements/tunis/le-bardo/a-vendre-appartement-s2-au-rdc-bardo-ii/68b70f20711369bbe4f6b3e4/,A vendre : Appartement S+2 au RDC Bardo II,,"Tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/tunis/le-bardo/a-vendre-villa-r1-khaznadar-bardo/691eeccc145e1617cba90f31/,A vendre : Villa R+1 à khaznadar - Bardo,,"Tunis, 2 hours ago",Maisons et Villas,
https://www.tayara.tn/item/maisons-et-villas/tunis/le-bardo/a-vendre-maison-au-bardo/6900d307d0d95991e106dba4/,A Vendre  Maison au Bardo,,"Tunis, 2 hours ago",Maisons et Villas,
https://www.tayara.tn/item/maisons-et-villas/tunis/el-omrane-suprieur/duplex-de-140-m-sur-un-terrain-de-104-m-omrane-suprieur/690dc9fe145e1617cb9e786c/,Duplex de 140 m² sur un terrain de 104 m² à Omrane Supérieur,,"Tunis, 2 hours ago",Maisons et Villas,
https://www.tayara.tn/item/maisons-et-villas/tunis/bab-souika/maison-91-m-bab-lakhouas/69160d40265523b710e41c30/,Maison 91 m² à Bab Lakhouas,,"Tunis, 2 hours ago",Maisons et Villas,
